tweet,label,target_id
yeah â€çï¸èthe guy wants to trend dat was why e join nysc e cant trend with good music again,anger,1
this life is so funny sef you will work hard and buy cloths and shoes and rain will start dictating when to wear them for you because you see rain to wear white na war to wear suede na wahala shoe wey i take my money buy,anger,1
dis is unfair of urcompany goingtowks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatum else u willbsurprised my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment,anger,1
lil wayne don vex me im actually not excited again,anger,1
dis is unfair of ur company going to wks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatumelse u will surprise my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment,anger,1
e be like u sef dey mad,anger,1
sure parole with dem boys dey mainland like this but no be me dem go use trend tomorrow these lagos police officers are unruly,anger,1
daddy mi o if a day is possible sef we go come dey chop chips and gala like if we walk too far from departure we go miss flight,anger,1
today marks one small milestone in the beautiful journey of lifei believe dat im the equivalent to a fine wine or a delicious cheesed older the better im trilled to be another year today i create within me a vacuum that no one can and will ever fill except god,anger,1
family dey call ooif no be billing na something dey sup oo real st come and drop your wetin my eyes don see vibe on this guy track abeg worldbest na skylevel only ï¸è,anger,1
sweater god e don dey be like my supervisor disturbing me for project,anger,1
chews loudly because i cant stand snoring its one of my greatest fear in marriage marry wife finish she con dey snore omo na to return the wife,anger,1
if by tomorrow i cannot make transactions with my account ill be done with yall and thats on period i know the money wey dey there na small thing butmake e work well napeople cannot even help my lifewhats this one na,anger,1
like where i wan dey see k monthly where i dey work,anger,1
yess ooo be like e don cancel trip sef sigh,anger,1
person wey i wan shoot shot to don egbonzone me again ooo,anger,1
you see those ones wey dey change paper to money i no dey believe say dem dey exist until d day dem run me pure street since last year sept i still dey think about my k till today na k these bastards use to cover d perfectly cut cartons wey be like real money ot of life,anger,1
na the witchcraft part omo e just dawn on me say true dem don turn black witches o,anger,1
this ramadan im reporting plenty people to god una don too do me strong thing,anger,1
you see why sticking to what youre familiar with is the best when making food choices just had the trashiest creamy chicken sauce with basmati rice and i dont know how to feel well maybe not trashy its just not something im used to i no dey chop pass rice and stew,anger,1
please i find it difficult to understand this space ehnneveryday every new morning different thingsee ehnn i know say luno own na savings una help me do see if una touch wÃ¡lai i go cry my tired i seriously exhausted,anger,1
abeg please wetin dey happen i havent eaten since morning because of you people and im not owing oooo,anger,1
futo babes â€çï¸è you sha not misbehave with dem cause dem dey burst bottle,anger,1
she ws floggin me dat very day d beatin ws so much dat i try fight back nd dis man came rm nowhere omg i almost die dat daydat my head wey no correct full of koko nd my mom was there watching dat ws d last day she floggin me always sha obt i see hell return dat day,anger,1
went to see mortal kombat at imax lekki e be like say subzero dey the cinema hall the main cold wey wan finish us ehn,anger,1
guy i told this man my surname e shout e say taaa you get money na say my papa even grandpa made money alaye im jobless you wan make i dey buy beer every day gon meet my grandpa,anger,1
i subscribe gb una no go allow am last now again una dey use una network they test my patience atleast lemme enjoy the network now even if i wont enjoy my data,anger,1
a letter to my ex dear miss amaka you been tell me say ikechukwu na your brother all those years only for you to invite me come wedding come see you dey marry the same ikechukwu my chest still dey pain me till today for my leg and my abdomen region,anger,1
e con be like say i no even dey do anything,anger,1
no light heat come dey againand our forever tenantmosquitoes dey also do their job which kind wahala be this,anger,1
fine girl = wahala and wahala no dey finish so dem dey fear us,anger,1
make pple d dey very careful wit diz end of month oo month don end month don end ehhenn who tell u say month end nah pay day some pple month nah dayz abeg make una take am easy wit pple oo diz monin i hear wife dey corey wit husband ontop breakfast money,anger,1
lmao hin no dey see zero na e dey see,anger,1
boss bless me tonight abeg even if na any amount hungry wan finish me for where ahde,anger,1
forex trading be like baba don put hand for head alot of persons make the mistake of opening multiple running trades abeg how you wan manage them without running mad,anger,1
wahala be like nigeria e dey paint pesin black,anger,1
where una dey see this money to chop four eggs eh this noodles looks terrible tho,anger,1
if i dey play ball i dey avoid these kind people i no dey bother my sef to go mack them theyll just use you and shine,anger,1
be like i came to church very early o sermon no wan end and my stomach don dey para,anger,1
